PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,Name from 2012,Trimb in 2012?,2012 Trimb Pt name,2013 Plant ID Code,Trimbled in 2013?,Visited PREV in 2013?,Code for prev 2013 visit,Visited again in 2013?,Code for later visit,New 2013 ID in Trimble,Comments2,Seen during Dist?,Position,Distance,Direction,StemsBUD,StemsFLOWER,StemsDONE,StemsNOflowers,BloomStatusDist,On Trimble?,Which Trimble?,FileName?,Northing,Easting,TRIMBStemsBUD,TRIMBStemsFLOW,TRIMBStemsDONE,TRIMBStemsNOflow,Comments 3,Photo Exposure,Comments3b,SCValid Bud,SCValid Flor,SCValid Done,SCValid None,SCValid Bloom Status,Comments SCValid
3001,A,301,RISC1001,RISC1001,,,RIS-C1-13-R1-001,Yes,,,,,,,No,na,na,,0,0,0,0,,Yes,?,?,,,0,0,0,1,,na,,,,,,,
3002,A,301,RISC1002,RISC1002,,,RIS-C1-13-R1-002,Yes,,,yes; revisited 7/10/2013,RIS-C1-13-R2-002,,buds tiny and green; revisited on 7/10/2013 (Transect BO [367]),No,na,na,,0,0,0,0,,Yes,?,?,,,3,0,0,0,,na,,,,,,,
3003,B,302,RISC2001,,y,?,RIS-C2-13-R1-001,yes,n,,n,,,,Yes,13,6,West,0,1,0,0,early full,Yes,,,,,0,1,0,1,,,,,,,,,
3004,B,302,not seen in 2012,,n,?,RIS-C2-13-R1-002,yes,n,,n,,"""001""",,Yes,35,88,West,0,3,0,0,full,Yes,EEOB,RISNEW,,,0,2,0,0,,na,,,,,,,
3005,B,302,RISC2002,,y,?,RIS-C2-13-R1-003,yes,n,,yes,RIS-C2-13-R2-001,,,No,na,na,,0,0,0,0,,Yes,,,,,5,0,0,0,,,,,,,,,
3006,B,302,RISC2003,,y,?,RIS-C2-13-R1-004,yes,n,,yes,RIS-C2-13-R2-002,,could not find; did find it on 7/10/2013,No,na,na,,0,0,0,0,,Yes,,,,,0,0,0,0,"could not find on this visit, but found on 2nd visit (7/10/2013)",,,,,,,,
3007,B,302,RISC2004,,y,?,RIS-C2-13-R1-005,yes,n,,n,,,,No,na,na,,0,0,0,0,,Yes,,,,,0,2,0,0,,na,,,,,,,
3008,B,302,RISC2005,,y,?,RIS-C2-13-R1-006,yes,n,,yes,RIS-C2-13-R2-003,,saw 1 monarch larva eating buds,No,na,na,,0,0,0,0,,Yes,,,,,1,3,0,0,,na,,,,,,,
3009,C,303,,RISS1003,yes,"""003"" in RISATBEN",RIS-S1-13-R1-001,y,n,,n,,,,Yes,10,106,West,0,3,0,0,full,Yes,PBG#3,RISATBEN,,,0,3,0,0,,,,,,,,,
3010,C,303,,,,,RIS-S1-13-R1-002,y,n,,n,,,,Yes,35,96,West,0,4,0,0,full,,,,,,,,,,,,,,,,,,
3011,C,303,,,,,RIS-S1-13-R1-003,y,n,,n,,,,Yes,68,108,West,0,1,0,0,full,,,,,,,,,,,,,,,,,,
3012,C,303,,,,,RIS-S1-13-R1-004,y,n,,n,,,,Yes,86,96,West,0,8,0,0,full,,,,,,,,,,,,,,,,,,
3013,C,303,,,,,RIS-S1-13-R1-005,y,n,,n,,,Ray thinks this is plant south of dam that got eaten by cattle,Yes,91,88,West,0,20,0,0,full,,,,,,,,,,,,,,,,,,
3014,C,303,RISS1002,,yes,002 (?),RIS-S1-13-R1-006,y,n,,yes,RIS-S3-13-R1-001,,,No,na,na,,,,,,,Yes,PBG#3,RISATBEN,,,1,4,0,0,,,,,,,,,
3015,C,303,RISS1001,,yes,001 (?),RIS-S1-13-R1-007,y,n,,yes,RIS-S3-13-R1-002,,,No,na,na,,,,,,,Yes,PBG#3,RISATBEN,,,1,2,0,0,,,,,,,,,
3016,D,304,RISS2000,,no,n.a.,RIS-S2-13-R1-000,n,n,,n,,,NONE,No,NOTHING,NOTHING,,0,0,0,0,,No,,,,,0,0,0,0,,,,,,,,,
3017,E,305,RISN1003,"""003""",,"""003""",RIS-N1-13-R1-001,y,n,,n,,,trampled by large ungulate,No,,,,,,,,,Yes,EEOB,RISN1AT,,,1,1,0,1,,,,,,,,,
3018,E,305,RISN1002,"""002""",,"""002""",RIS-N1-13-R1-002,y,n,,n,,,,No,,,,,,,,,Yes,EEOB,RISN1AT,,,0,0,0,1,,,,,,,,,
3019,E,305,RISN1004,"""004""",,"""004""",RIS-N1-13-R1-003,y,n,,n,,,possibly trampled by large ungulate; stem is almost dead,No,,,,,,,,,Yes,EEOB,RISN1AT,,,0,0,0,1,,,,,,,,,
3020,E,305,RISN1001,"""001""",,"""001""",RIS-N1-13-R1-004,y,n,,n,,,,No,,,,,,,,,Yes,EEOB,RISN1AT,,,0,0,0,2,,,,,,,,,
3021,F,306,,,,,RIS-N2-13-R1-001,n,n,,n,,,did NOT visit plants using Trimble that day,Yes,32,33,East,0,6,0,0,4,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,,,,
3022,F,306,,,,,RIS-N2-13-R1-002,n,n,,n,,,did NOT visit plants using Trimble that day,Yes,24,11,East,0,2,0,0,3,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,,,,
3023,G,307,PYSW1002,,YES,002 (?),PYS-W1-13-R1-001,y,,,n,,,,Yes,0,69,East,0,4,0,0,early full,Yes,EEOB,PYSW1AT,,,0,5,0,0,,,,,,,,,
3024,G,307,PYSW1001,,YES,PYSW001 (?),PYS-W1-13-R1-002,y,,,n,,,,Yes,0,71,East,0,5,0,0,early full,Yes,EEOB,PYSW1AT,,,2,7,0,0,,,,,,,,,
3025,G,307,,,,,PYS-W1-13-R1-003,,,,n,,,,Yes,8,31,West,0,1,0,0,early full,,,,,,,,,,,,,,,,,,
3026,G,307,,,,,PYS-W1-13-R1-004,,,,n,,,,Yes,9,29,West,0,4,0,0,early full,,,,,,,,,,,,,,,,,,
3027,G,307,none (new in 2013),,no,,PYS-W1-13-R1-005,y,,,n,,??,we might have failed to enter point into Trimble!!,Yes,13,29,West,0,7,0,0,full,,EEOB?,??,,,0,6,0,0,,,,,,,,,
