STEMNumAuto,PlantNum,Stem Length (cm),# of buds,# of flowers,Bloom Status,Comments 5
1,3001,43,0,0,0,
2,3002,54,too early,0,1,revisited 7/10/2013
3,3002,53,too early,0,1,revisited 7/10/2013
4,3002,52,too early,0,1,revisited 7/10/2013
5,3003,65,38,82,3,
6,3003,53,0,0,0,
7,3004,66,66,85,3,
8,3004,64,98,4,2,
9,3005,51,35,0,1,
10,3005,50,too early,0,1,
11,3005,45,too early,0,1,
12,3006,0,0,0,0,not found until 7/10/2013
13,3007,63,115,85,3,
14,3007,59,120,55,3,
15,3008,51,150,1,2,revisited on 7-10-2013
16,3008,47,110,15,2,revisited on 7-10-2013
17,3008,38,80,25,2,revisited on 7-10-2013
18,3009,46,82,90,3,
19,3009,45,32,130,3,
20,3009,40,60,95,3,
21,3014,43,105,95,3,
22,3014,43,110,75,3,estimated bud number
23,3014,42.5,180,60,2,estimated bud number
24,3015,42,85,33,2,
25,3015,42,85,45,3,
26,3015,41,78,0,1,
27,3017,58,120,12,2,
28,3017,56,100,0,1,
29,3017,41,0,0,0,
30,3018,33,0,0,0,
31,3019,42,0,0,0,
32,3020,26,0,0,0,
33,3020,25,0,0,0,
34,3062,80,90,175,5,
35,3062,75,78,140,4,
36,3062,70,60,162,4,
37,3033,55,76,158,5,
38,3033,53,50,120,4,
39,3033,53,45,80,4,
40,3027,53,31,145,4,
41,3027,53,80,141,4,
42,3027,52,48,153,4,
43,3031,37,8,38,4,
44,3031,36,0,67,4,
45,3023,67,80,85,3,
46,3023,64,110,95,3,
47,3023,63,90,45,3,
48,3024,64,160,0,1,
49,3024,63,95,40,2,
50,3024,61,53,72,3,
51,3063,30,too early,,1,
52,3064,42,190,0,1,
53,3065,46,19,50,4,
54,3076,68,55,75,4,
55,3077,58,100,100,3,
56,3077,56,95,75,3,
57,3075,71,55,70,3,
58,3075,69,100,27,2,
59,3075,63,70,65,3,
60,3074,51,0,25,4,
61,3074,51,too early,0,1,
62,3074,47,too early,0,1,
63,3072,61,51,104,5,Photo 360
64,3072,61,40,105,5,Photo 361
65,3072,52,95,52,4,Photo 362
66,3080,58,122,48,3,
67,3080,56,133,38,3,
68,3080,56,89,35,3,
69,3081,45,0,40,4,
70,3081,42,0,17,5,
71,3081,42,0,30,4,
72,3082,64,58,70,3,
73,3082,60,60,145,4,
74,3082,60,55,180,4,
75,3085,65,125,140,4,
76,3085,61,70,85,3,
77,3085,58,155,105,3,
78,3086,47,185,40,2,
79,3086,39,too early,0,1,
80,3086,33,too early,0,1,
81,3087,71,80,100,3,
82,3087,21,0,0,0,
83,3090,64,145,2,2,
84,3090,62,120,0,1,
85,3090,61,95,0,1,
86,3091,56,5,70,in bud,
87,3092,60,0,110,5,
88,3092,59,2,90,4,
89,3092,59,1,85,4,
90,3093,69,240,80,3,
91,3094,46,30,3,2,
92,3094,13,0,0,0,
93,3095,55,too early,0,1,
94,3096,31,0,0,0,
95,3097,20,0,0,0,
96,3098,71,155,75,3,
97,3099,2,0,0,0,
