PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,2013 Plant ID Code,2014 Plant ID Code,Sample Date if diff from TransMetadata,Trimb in 2012?,2012 Trimb Pt name,new 2014 id in trimb,VISITED PREV in 2014?,CODE FOR PREV VISIT,VISITED AGAIN IN 2014?,CODE FOR LATER VISIT,Comments2,TRIMBLED IN 2014?,which trimble?,FileName?,Northing,Easting,TRIMBSBUD,TRIMBSFLOW,TRIMBSDONE,TRIMBS NOflow,DEAD STEMS,Comments 3,Comments 3G,Ascl within 1 m?,Ascl within 2 m,Grazing lawn?,Shrubs within 1 m?,Bflies nectaring?,Monarch immatures2?,Crab spiders?,Other insects?,Comments 4,total # bitten stems,# of bitten stems flower this year,# bitten stems w axillary,# of UNbit stems w axillary,# of axillary shoots,# of BITTEN Axillary shoots,Comments 5 damage,Comments 6,Photo Exposure,Comments 12,Comments 13,Comments 14,Comments 15,Comments 16
3001,A,301,RISC1001,RIS-C1-13-R1-001,,,,,,,,,,,Yes,?,?,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,na,,,,,
3002,A,301,RISC1002,RIS-C1-13-R1-002,,,,,,,,yes; revisited 7/10/2013,RIS-C1-13-R2-002,buds tiny and green; revisited on 7/10/2013 (Transect BO [367]),Yes,?,?,,,3,0,0,0,,,,,,,,,,,,,,,,,,,,,na,,,,,
3003,B,302,RISC2001,RIS-C2-13-R1-001,,,y,?,,n,,n,,,yes,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,B,302,not seen in 2012,RIS-C2-13-R1-002,,,n,?,"""001""",n,,n,,,yes,EEOB,RISNEW,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,na,,,,,
3005,B,302,RISC2002,RIS-C2-13-R1-003,,,y,?,,n,,yes,RIS-C2-13-R2-001,,yes,,,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,B,302,RISC2003,RIS-C2-13-R1-004,,,y,?,,n,,yes,RIS-C2-13-R2-002,could not find; did find it on 7/10/2013,yes,,,,,0,0,0,0,,"could not find on this visit, but found on 2nd visit (7/10/2013)",,,,,,,,,,,,,,,,,,,,,,,,
3007,B,302,RISC2004,RIS-C2-13-R1-005,,,y,?,,n,,n,,,yes,,,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,na,,,,,
3008,B,302,RISC2005,RIS-C2-13-R1-006,,,y,?,,n,,yes,RIS-C2-13-R2-003,saw 1 monarch larva eating buds,yes,,,,,1,3,0,0,,,,,,,,,,,,,,,,,,,,,na,,,,,
3009,C,303,RISS1003,RIS-S1-13-R1-001,,,yes,"""003"" in RISATBEN",,n,,n,,,yes,PBG#3,RISATBEN,,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,C,303,none (new in 2013),RIS-S1-13-R1-002,,,,,,n,,n,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,C,303,none (new in 2013),RIS-S1-13-R1-003,,,,,,n,,n,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,C,303,none (new in 2013),RIS-S1-13-R1-004,,,,,,n,,n,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,C,303,not seen in 2012,RIS-S1-13-R1-005,,,,,,n,,n,,Ray thinks this is plant south of dam that got eaten by cattle,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,C,303,RISS1002,RIS-S1-13-R1-006,,,yes,002 (?),,n,,yes,RIS-S3-13-R1-001,,yes,PBG#3,RISATBEN,,,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,C,303,RISS1001,RIS-S1-13-R1-007,,,yes,001 (?),,n,,yes,RIS-S3-13-R1-002,,yes,PBG#3,RISATBEN,,,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,D,304,RISS2000,RIS-S2-13-R1-000,,,no,n.a.,,n,,n,,NONE,no,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,E,305,RISN1003,RIS-N1-13-R1-001,,,,"""003""",,n,,n,,trampled by large ungulate,yes,EEOB,RISN1AT,,,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,E,305,RISN1002,RIS-N1-13-R1-002,,,,"""002""",,n,,n,,,yes,EEOB,RISN1AT,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,E,305,RISN1004,RIS-N1-13-R1-003,,,,"""004""",,n,,n,,possibly trampled by large ungulate; stem is almost dead,yes,EEOB,RISN1AT,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,E,305,RISN1001,RIS-N1-13-R1-004,,,,"""001""",,n,,n,,,yes,EEOB,RISN1AT,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,F,306,not seen in 2012,RIS-N2-13-R1-001,,,,,,n,,n,,did NOT visit plants using Trimble that day,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,,,,
3022,F,306,not seen in 2012,RIS-N2-13-R1-002,,,,,,n,,n,,did NOT visit plants using Trimble that day,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,,,,
3023,G,307,PYSW1002,PYS-W1-13-R1-001,,,YES,002 (?),,,,n,,,yes,EEOB,PYSW1AT,,,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,G,307,PYSW1001,PYS-W1-13-R1-002,,,YES,PYSW001 (?),,,,n,,,yes,EEOB,PYSW1AT,,,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3025,G,307,,PYS-W1-13-R1-003,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,G,307,,PYS-W1-13-R1-004,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,G,307,PYSW1_2013_005,PYS-W1-13-R1-005,,,no,NONE,??,,,n,,we might have failed to enter point into Trimble!!,yes,EEOB?,??,,,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,G,307,,PYS-W1-13-R1-006,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,G,307,,PYS-W1-13-R1-007,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,G,307,,PYS-W1-13-R1-008,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,G,307,PYSW1_2013_009,PYS-W1-13-R1-009,,,no,none,??,,,n,,,yes,EEOB?,??,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,G,307,,PYS-W1-13-R1-010,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,G,307,PYSW1003,PYS-W1-13-R1-011,,,YES,003,,,,n,,,yes,EEOB,PYSW1AT,,,0,9,0,0,,crab spider on this plant,,,,,,,,,,,,,,,,,,,,,,,,
3034,G,307,,PYS-W1-13-R1-012,,,no,,,,,n,,all 3 stems run over by truck,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,G,307,,PYS-W1-13-R1-013,,,no,,,,,n,,2 stems in bud,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,G,307,,PYS-W1-13-R1-014,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,G,307,,PYS-W1-13-R1-015,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,G,307,,PYS-W1-13-R1-016,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,G,307,,PYS-W1-13-R1-017,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,G,307,,PYS-W1-13-R1-018,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,G,307,,PYS-W1-13-R1-019,,,no,,,,,n,,great spangled fritillary nectaring,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053,G,307,,PYS-W1-13-R1-020,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,G,307,,PYS-W1-13-R1-021,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,G,307,,PYS-W1-13-R1-022,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,G,307,,PYS-W1-13-R1-023,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,G,307,,PYS-W1-13-R1-024,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,G,307,,PYS-W1-13-R1-025,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,G,307,,PYS-W1-13-R1-026,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,G,307,,PYS-W1-13-R1-027,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,G,307,,PYS-W1-13-R1-028,,,no,,,,,n,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,G,307,PYSW1012,PYS-W1-13-R1-029,,,yes,012,,,,n,,,yes,EEOB,PYSW1AT,,,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,H,308,PYWS1002,PYW-S1-13-R1-001,,,yes,S1002,,n,,y,PYW-S1-13-R2-005,,yes,EEOB,PYWATBEN,,,1,0,0,0,,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,,,,,,,,,,,,,,,,,
3064,H,308,PYWS1001,PYW-S1-13-R1-002,,,yes,PYWS1001 (?),,n,,y,PYW-S1-13-R2-001,,yes,EEOB,PYWATBEN,,,1,0,0,0,,"in lowland valley where soil is moist, in contrast to blooming plants on dry ridge 150 m east",,,,,,,,,,,,,,,,,,,,,,,,
3065,I,309,none (new in 2013),PYW-S2-13-R1-001,,,no,n.a.,???,no,,no,,,yes,EEOB,at2013PYW,,,0,1,0,0,,not trimbled in 2012,,,,,,,,,,,,,,,,,,,,,,,,
3066,I,309,n.a.,PYW-S2-13-R1-002,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,I,309,n.a.,PYW-S2-13-R1-003,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,I,309,n.a.,PYW-S2-13-R1-004,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,I,309,n.a.,PYW-S2-13-R1-005,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,I,309,n.a.,PYW-S2-13-R1-006,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,I,309,n.a.,PYW-S2-13-R1-007,,,no,,,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,I,309,PYWS2007,PYW-S2-13-R1-008,,,YES,I,,no,,no,,great spangled visiting,YES,PBG#3,PYWS2AT,,,0,9,0,1,,"1 stem bitten off 4"" from ground, with no resprouts",,,,,,,,,,,,,,,,,,Photos from 2012 are exp. 136-137,359 (whole plant),,,,,
3073,I,309,n.a.,PYW-S2-13-R1-009,,,no,,,no,,no,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,I,309,PYWS2002,PYW-S2-13-R1-010,,,YES,F,,no,n.a.,yes,PYW-S2-13-R2-001,pearl crescent visiting,YES,??,PYWS2AT,,,2,1,0,1,,plant injured by large ungulate,,,,,,,,,,,,,,,,,,,,,,,,
3075,I,309,PYWS2014,PYW-S2-13-R1-011,,,YES,G,,no,,no,,pearl crescent visiting,YES,??,PYWS2AT,,,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,I,309,none (new in 2013),PYW-S2-13-R1-012,,,NO,,??,no,,no,,,YES,EEOB,at2013PYW,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,don't know if plant was trimbled in 2012,,,,,,
3077,I,309,n.a.,PYW-S2-13-R1-013,,,NO,,??,no,,no,,,YES,EEOB,at2013PYW,,,0,2,0,0,,,,,,,,,,,,,,,,,,,,don't know if plant was trimbled in 2012,,,,,,
3078,I,309,n.a.,PYW-S2-13-R1-014,,,NO,,,no,,no,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,I,309,n.a.,PYW-S2-13-R1-015,,,NO,,,no,,no,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,I,309,PYWS2010,PYW-S2-13-R1-016,,,YES,E,,no,,no,,,YES,PBG#3,PYWS2AT,,,2,3,0,0,,took photos of Edwards hairstreak nectaring on this plant;,,,,,,,,,,,,,,,,,," found 1 monarch egg and 2 milkweed bugs on this plant, and 1 nectaring pearl crescent",???,,,,,
3081,J,310,,PYS-W2-13-R1-001,,,no,,??,no,,no,,,yes,EEOB,at2013PYS (?),,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,J,310,PYSW2001,PYS-W2-13-R1-002,,,yes,?,,no,,no,,some stems knocked over by large ungulate,yes,,,,,0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,J,310,,PYS-W2-13-R1-003,,,no,,no,no,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,J,310,accidental row,accidental row,,,accidental row,,,,,,,accidental row,accidental row,,,,,,,,,," nectared on by 1 regal fritillary, 1 Edward's hairstreak and 2 pearl crescents",,,,,,,,,,,,,,,,,,,,,,,,
3085,J,310,,PYS-W2-13-R1-005,,,no,,??,no,,no,,,yes,,,,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,J,310,PYSW2002,PYS-W2-13-R1-006***,,,yes,?,,no,,no,,"***This plant actually located in SOUTH patch of Pyland South, though very close to PYS West patch; ~30 flowers/buds had been bitten off by caterpillar",yes,EEOB?,at2013PYS (?),,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,K,311,PYSS1001,PYS-S1-13-R1-001,,,yes,??,,no,,no,,,yes,PBG#3,PYSATBEN,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
