PlantNumAuto,TranLetter2,AsclepTransID,PlantID Code from 2012,TRIMBSBUD,TRIMBSFLOW,TRIMBSDONE,TRIMBS NOflow,DEAD STEMS,Length St1,LengthSt2,LengthSt3,Buds St 1,Buds St 2,Buds St 3,Flow St 1,Flow St 2,Flow St 3,BlooStatus St 1,BlooStatus St 2,BlooStatus St 3,Comments2,Comments 3,Ascl within 1 m?,Ascl within 2 m,Grazing lawn?,Shrubs within 1 m?,Bflies nectaring?,Monarch immatures2?,Crab spiders?,Other insects?,Comments 4,Bitten St 1,Bitten St 2,Bitten St 3,total # bitten stems,# of bitten stems flower this year,# bitten stems w axillary,# of UNbit stems w axillary,# of axillary shoots,# of BITTEN Axillary shoots,Comments 5,Comments 6,Photo Exposure,Comments 7,Comments 8
3001,A,301,RISC1001,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,
3002,A,301,RISC1002,3,0,0,0,,,,,,,,,,,,,,buds tiny and green; revisited on 7/10/2013 (Transect BO [367]),,,,,,,,,,,,,,,,,,,,,,na,,
3003,B,302,RISC2001,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,B,302,not seen in 2012,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,
3005,B,302,RISC2002,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,B,302,RISC2003,0,0,0,0,,,,,,,,,,,,,,could not find; did find it on 7/10/2013,"could not find on this visit, but found on 2nd visit (7/10/2013)",,,,,,,,,,,,,,,,,,,,,,,
3007,B,302,RISC2004,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,
3008,B,302,RISC2005,1,3,0,0,,,,,,,,,,,,,,saw 1 monarch larva eating buds,,,,,,,,,,,,,,,,,,,,,,na,,
3009,C,303,RISS1003,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,C,303,none (new in 2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,C,303,none (new in 2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,C,303,none (new in 2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,C,303,not seen in 2012,,,,,,,,,,,,,,,,,,Ray thinks this is plant south of dam that got eaten by cattle,,,,,,,,,,,,,,,,,,,,,,,,
3014,C,303,RISS1002,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,C,303,RISS1001,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,D,304,RISS2000,0,0,0,0,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,
3017,E,305,RISN1003,1,1,0,1,,,,,,,,,,,,,,trampled by large ungulate,,,,,,,,,,,,,,,,,,,,,,,,
3018,E,305,RISN1002,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,E,305,RISN1004,0,0,0,1,,,,,,,,,,,,,,possibly trampled by large ungulate; stem is almost dead,,,,,,,,,,,,,,,,,,,,,,,,
3020,E,305,RISN1001,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,F,306,not seen in 2012,,,,,,,,,,,,,,,,,,did NOT visit plants using Trimble that day,,,,,,,,,,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,
3022,F,306,not seen in 2012,,,,,,,,,,,,,,,,,,did NOT visit plants using Trimble that day,,,,,,,,,,,,,,,,,,,,,whole transect was revisited July 8 and 9,,,
3023,G,307,PYSW1002,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,G,307,PYSW1001,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3025,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,G,307,PYSW1_2013_005,0,6,0,0,,,,,,,,,,,,,,we might have failed to enter point into Trimble!!,,,,,,,,,,,,,,,,,,,,,,,,
3028,G,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
