Year,Pasture,Patch,Pasture.Patch,Pasture.Patch.Year,FireTreat,TSF,Management.Method,HerbExp.14.18,HerbTreat.14.18,Stocking.Type
2014,GIL,C,GIL-C,GIL-C-2014,FB,2,GB,IC,None,IES
2015,GIL,C,GIL-C,GIL-C-2015,FB,0,GB,IC,SnS,IES
2016,GIL,C,GIL-C,GIL-C-2016,FB,1,GB,IC,SnS,IES
2014,GIL,N,GIL-N,GIL-N-2014,FB,2,GB,IC,None,IES
2015,GIL,N,GIL-N,GIL-N-2015,FB,0,GB,IC,Spr,IES
2016,GIL,N,GIL-N,GIL-N-2016,FB,1,GB,IC,Spr,IES
2014,GIL,S,GIL-S,GIL-S-2014,FB,2,GB,IC,None,IES
2015,GIL,S,GIL-S,GIL-S-2015,FB,3,GB,IC,Con,IES
2016,GIL,S,GIL-S,GIL-S-2016,FB,0,GB,IC,Con,IES
2014,LTR,C,LTR-C,LTR-C-2014,FB,2,GB,IC,None,IES
2015,LTR,C,LTR-C,LTR-C-2015,FB,0,GB,IC,None,IES
2016,LTR,C,LTR-C,LTR-C-2016,FB,1,GB,IC,Spr,IES
2014,LTR,E,LTR-E,LTR-E-2014,FB,2,GB,IC,None,IES
2015,LTR,E,LTR-E,LTR-E-2015,FB,0,GB,IC,SnS,IES
2016,LTR,E,LTR-E,LTR-E-2016,FB,1,GB,IC,SnS,IES
2014,LTR,W,LTR-W,LTR-W-2014,FB,2,GB,IC,None,IES
2015,LTR,W,LTR-W,LTR-W-2015,FB,0,GB,IC,Con,IES
2016,LTR,W,LTR-W,LTR-W-2016,FB,1,GB,IC,Con,IES
2014,PYN,N,PYN-N,PYN-N-2014,PB,1,PBG,No,None,IES
2015,PYN,N,PYN-N,PYN-N-2015,PB,2,PBG,No,None,IES
2016,PYN,N,PYN-N,PYN-N-2016,PB,0,PBG,No,None,IES
2014,PYN,S,PYN-S,PYN-S-2014,PB,2,PBG,No,None,IES
2015,PYN,S,PYN-S,PYN-S-2015,PB,0,PBG,No,None,IES
2016,PYN,S,PYN-S,PYN-S-2016,PB,1,PBG,No,None,IES
2014,PYN,W,PYN-W,PYN-W-2014,PB,0,PBG,No,None,IES
2015,PYN,W,PYN-W,PYN-W-2015,PB,1,PBG,No,None,IES
2016,PYN,W,PYN-W,PYN-W-2016,PB,2,PBG,No,None,IES
2012,PAW,E,PAW-E,PAW-E-2012,FB,4,BO,No,None,None
2013,PAW,E,PAW-E,PAW-E-2013,FB,0,BO,No,None,None
2014,PAW,E,PAW-E,PAW-E-2014,FB,1,BO,No,None,None
2015,PAW,E,PAW-E,PAW-E-2015,FB,2,BO,No,None,None
2016,PAW,E,PAW-E,PAW-E-2016,FB,3,BO,No,None,None
2012,PAW,S,PAW-S,PAW-S-2012,FB,4,BO,No,None,None
2013,PAW,S,PAW-S,PAW-S-2013,FB,0,BO,No,None,None
2014,PAW,S,PAW-S,PAW-S-2014,FB,1,BO,No,None,None
2015,PAW,S,PAW-S,PAW-S-2015,FB,2,BO,No,None,None
2016,PAW,S,PAW-S,PAW-S-2016,FB,3,BO,No,None,None
2012,PAW,W,PAW-W,PAW-W-2012,FB,4,BO,No,None,None
2013,PAW,W,PAW-W,PAW-W-2013,FB,0,BO,No,None,None
2014,PAW,W,PAW-W,PAW-W-2014,FB,1,BO,No,None,None
2015,PAW,W,PAW-W,PAW-W-2015,FB,2,BO,No,None,None
2016,PAW,W,PAW-W,PAW-W-2016,FB,3,BO,No,None,None
2012,RIN,E,RIN-E,RIN-E-2012,FB,0,BO,No,None,None
2013,RIN,E,RIN-E,RIN-E-2013,FB,1,BO,No,None,None
2014,RIN,E,RIN-E,RIN-E-2014,FB,2,BO,No,None,None
2015,RIN,E,RIN-E,RIN-E-2015,FB,3,BO,No,None,None
2016,RIN,E,RIN-E,RIN-E-2016,FB,4,BO,No,None,None
